SA2_CODE_2021,went_to_work_total,car_share,pt_share,SA2_NAME21,stops_count,area_km2,stops_per_km2,region,IRSAD_Score,IRSAD_Decile
213011329,3316,0.9065138721351024,0.066043425814234,Cairnlea,15,4.406,3.0,VIC,968,4
213011331,2678,0.9055265123226288,0.0731889469753547,Delahey,30,3.506,9.0,VIC,902,2
213011332,3849,0.9181605611847232,0.0506625097427903,Keilor Downs,66,7.66,9.0,VIC,959,4
213011333,3938,0.9118842051802946,0.0746571863890299,Kings Park (Vic.),53,4.432,12.0,VIC,854,1
213011334,5777,0.8322658819456465,0.1305175696728405,St Albans - North,79,6.522,12.0,VIC,863,1
213011335,4995,0.8298298298298298,0.1395395395395395,St Albans - South,72,6.265,11.0,VIC,869,1
213011336,2852,0.7629733520336606,0.1889901823281907,Sunshine,110,4.732,23.0,VIC,957,4
213011337,3710,0.8735849056603774,0.0951482479784366,Sunshine North,43,8.023,5.0,VIC,904,2
213011338,5389,0.8741881610688439,0.0929671553163852,Sunshine West,101,12.969,8.0,VIC,906,2
213011339,3901,0.8723404255319149,0.096641886695719,Sydenham,55,3.948,14.0,VIC,968,4
213011340,5833,0.9365678038745072,0.0378878793073889,Taylors Lakes,110,18.463,6.0,VIC,1026,7
213011569,5354,0.8935375420246545,0.0825550989914083,Deer Park,70,8.077,9.0,VIC,912,2
213011570,2821,0.912442396313364,0.0655795817086139,Derrimut,24,13.258,2.0,VIC,995,5
213021341,3545,0.8507757404795486,0.0933709449929478,Altona,79,17.683,4.0,VIC,1048,8
213021342,5553,0.8982531964703764,0.0745542949756888,Altona Meadows,46,10.542,4.0,VIC,967,4
213021343,3912,0.8816462167689162,0.081799591002045,Altona North,124,16.184,8.0,VIC,993,5
213021344,4718,0.8268334039847393,0.1093683764306909,Newport,100,8.84,11.0,VIC,1103,9
213021345,1433,0.886950453593859,0.0830425680390788,Seabrook,9,1.62,6.0,VIC,1006,6
213021346,3806,0.8166053599579611,0.093011035207567,Williamstown,79,7.347,11.0,VIC,1101,9
213031347,5835,0.8325621251071122,0.124764353041988,Braybrook,85,7.485,11.0,VIC,965,4
213031348,5085,0.6135693215339233,0.2788593903638151,Footscray,125,4.967,25.0,VIC,1030,7
213031349,4214,0.8327005220692928,0.0999050783103939,Maribyrnong,78,5.493,14.0,VIC,1063,8
213031350,2214,0.7199638663053297,0.1820234869015357,Seddon - Kingsville,31,1.68,18.0,VIC,1103,9
213031351,3229,0.746051409104986,0.1684732115205946,West Footscray - Tottenham,62,5.981,10.0,VIC,1046,7
213031352,3975,0.7562264150943396,0.1489308176100628,Yarraville,98,5.62,17.0,VIC,1109,9
213041353,8391,0.9214634727684424,0.0357525920629245,Bacchus Marsh,83,196.299,0.0,VIC,983,5
213041358,6596,0.928289872650091,0.0377501516070345,Melton West,87,24.202,4.0,VIC,920,2
213041359,5191,0.8979002119052206,0.0687728761317665,Rockbank - Mount Cottrell,47,125.761,0.0,VIC,1029,7
213041360,6170,0.919611021069692,0.0568881685575364,Taylors Hill,43,5.967,7.0,VIC,1023,7
213041461,1746,0.9266895761741124,0.061282932416953,Burnside,20,2.552,8.0,VIC,982,5
213041462,1966,0.9109867751780264,0.0523906408952187,Burnside Heights,14,1.995,7.0,VIC,1007,6
213041463,6345,0.9227738376674548,0.0537431048069345,Caroline Springs,79,6.952,11.0,VIC,1011,6
213041571,3031,0.9234576047509072,0.0435499835037941,Brookfield,24,10.693,2.0,VIC,937,3
213041572,2572,0.890746500777605,0.0715396578538102,Cobblebank - Strathtulloh,14,19.759,1.0,VIC,1001,6
213041573,924,0.9361471861471862,0.0303030303030303,Eynesbury - Exford,13,69.489,0.0,VIC,1056,8
213041574,3364,0.9149821640903686,0.0671819262782401,Fraser Rise - Plumpton,10,58.732,0.0,VIC,1035,7
213041575,5722,0.9288710241174416,0.0468367703600139,Hillside,46,7.817,6.0,VIC,1013,6
213041576,3774,0.924748277689454,0.0357710651828298,Kurunjang - Toolern Vale,37,120.844,0.0,VIC,921,2
213041577,1976,0.8901821862348178,0.0526315789473684,Melton,59,9.861,6.0,VIC,843,1
213041578,4412,0.8900725294650952,0.0809156844968268,Melton South - Weir Views,49,11.021,4.0,VIC,881,1
213051361,6061,0.9023263487873288,0.0651707639003464,Hoppers Crossing - North,96,10.913,9.0,VIC,955,4
213051362,5381,0.8639658056123397,0.0983088645233228,Hoppers Crossing - South,91,7.011,13.0,VIC,936,3
